clean_feature_index,original_neuron_index,raw_mu_inanimate,raw_mu_animate,raw_contrast,normalized_contrast,abs_normalized_contrast,signed_log_abs_normalized_contrast
22553,22553,0.27854547,0.2501587,-0.028386772,-0.004305782,0.004305782,-1.0065143
28958,28958,0.059999987,0.1222222,0.062222213,0.004302426,0.004302426,1.006209
29680,29680,0.080727264,0.03396824,-0.046759024,-0.004299122,0.004299122,-1.0059083
29152,29152,0.094181806,0.15555556,0.061373755,0.0042838147,0.0042838147,1.0045122
31085,31085,0.1512727,0.114603125,-0.036669575,-0.004279078,0.004279078,-1.0040793
24864,24864,0.19745456,0.15619044,-0.041264117,-0.0042755436,0.0042755436,-1.003756
9539,9539,0.26254544,0.23460317,-0.02794227,-0.0042711906,0.0042711906,-1.0033575
3880,3880,0.13490906,0.20031747,0.06540841,0.0042634746,0.0042634746,1.0026503
1121,1121,0.086181805,0.03936506,-0.046816744,-0.004262233,0.004262233,-1.0025364
31606,31606,0.121090874,0.0774603,-0.043630578,-0.0042620725,0.0042620725,-1.0025216
25171,25171,0.107999966,0.06507934,-0.042920627,-0.0042616776,0.0042616776,-1.0024854
27429,27429,0.053818166,0.1133333,0.059515134,0.0042501837,0.0042501837,1.0014292
11288,11288,0.2850909,0.25936508,-0.025725812,-0.0042492356,0.0042492356,-1.001342
34948,34948,0.025454544,0.0838095,0.05835496,0.004244251,0.004244251,1.0008831
12713,12713,0.10581816,0.16761903,0.061800875,0.0042364085,0.0042364085,1.0001601
31739,31739,0.13272725,0.08603173,-0.046695523,-0.0042210184,0.0042210184,-0.9987378
35999,35999,0.11563634,0.07492062,-0.040715724,-0.004218547,0.004218547,-0.99850893
1778,1778,0.09599997,0.15269843,0.056698456,0.004215899,0.004215899,0.9982636
15190,15190,0.050545447,0.10952378,0.058978334,0.0042098663,0.0042098663,0.99770415
2051,2051,0.29854545,0.27333334,-0.02521211,-0.0041958597,0.0041958597,-0.99640256
28451,28451,0.08036361,0.14285716,0.062493555,0.0041900123,0.0041900123,0.995858
24460,24460,0.05563635,0.11111108,0.055474732,0.0041881683,0.0041881683,0.9956861
15427,15427,0.07163634,0.13206346,0.06042712,0.0041728937,0.0041728937,0.99425983
23215,23215,0.28472725,0.26,-0.024727255,-0.0041666385,0.0041666385,-0.9936744
6711,6711,0.20581819,0.17142855,-0.034389645,-0.004166076,0.004166076,-0.99362177
35912,35912,0.08727271,0.14507936,0.05780665,0.004163816,0.004163816,0.99341
38566,38566,0.08618179,0.049523797,-0.036657993,-0.0041579464,0.0041579464,-0.9928596
1676,1676,0.15854542,0.22634923,0.067803815,0.00414583,0.00414583,0.9917212
